Time,GyroX,GyroY,GyroZ,Accelerometer,HeelLeft,FrontLeft,HeelRight,FrontRight,DataType
1.54764E+12,-0.06881833,-0.4552517,-0.20291197,11.137625,792,0,946,696,1
1.54764E+12,0.1094845,-0.50050807,-0.91622806,7.8667626,861,0,930,693,1
1.54764E+12,0.3325376,-0.8970818,-0.6729466,7.8273063,876,0,857,677,1
1.54764E+12,0.79672533,-1.1430161,-0.20450023,12.166988,910,3,792,660,1
1.54764E+12,0.24043655,-0.8182976,-0.50047314,10.760595,925,22,851,628,1
1.54764E+12,0.08234464,-0.20931734,-1.0077881,7.730303,927,72,858,544,1
1.54764E+12,1.1650945,-0.04590216,-1.226565,6.994919,923,75,836,481,1
1.54764E+12,1.5441102,-0.344528,-0.8848121,8.230615,919,55,793,546,1
1.54764E+12,1.0554355,-0.25137976,-0.44352308,10.31221,923,33,809,636,1
1.54764E+12,0.57314867,-0.27851963,-0.24549802,12.769014,923,31,865,660,1
1.54764E+12,0.6396981,-0.07145378,-0.58990383,11.281775,924,59,912,665,1
1.54764E+12,0.7781027,0.26869345,-1.0152406,10.543777,920,54,939,662,1
1.54764E+12,0.8637984,0.06480408,-0.6830695,9.7000885,900,5,951,669,1
1.54764E+12,0.65725607,0.19256218,-0.59044486,12.134398,897,0,958,673,1
1.54764E+12,0.6593854,-0.049619712,-0.5792573,11.045793,892,9,956,685,1
1.54764E+12,0.572084,0.13720033,-0.73043776,10.008356,900,22,956,691,1
1.54764E+12,0.67909014,-0.0389732,-0.4972792,9.548066,909,38,955,697,1
1.54764E+12,0.23671901,0.12016592,-0.030962141,12.832317,908,80,959,688,1
1.54764E+12,0.1755103,0.32086134,-0.11400491,12.0778,897,76,958,689,1
1.54764E+12,0.5130046,0.42678535,-0.27157325,9.975164,893,52,957,696,1
1.54764E+12,0.32456142,0.33096677,-0.358351,11.395596,864,28,955,700,1
1.54764E+12,0.37192968,0.1702045,-0.3540924,11.665269,871,87,952,710,1
1.54764E+12,0.5444031,0.30115655,-0.56702256,12.332667,888,163,952,712,1
1.54764E+12,0.58646554,0.4017748,-0.46375144,14.729502,904,220,953,715,1
1.54764E+12,0.54386204,0.43104395,-0.7346963,11.804047,906,288,954,714,1
1.54764E+12,0.550791,0.45446628,-0.41051888,11.4104395,911,282,957,714,1
1.54764E+12,0.5582436,0.34480724,0.11061897,18.30234,931,232,962,701,1
1.54764E+12,0.0397586,0.57531285,-0.08580039,15.499296,925,286,965,689,1
1.54764E+12,0.6343574,0.44275513,-0.07035422,11.228146,932,249,964,707,1
1.54764E+12,0.4182507,0.5423087,0.4198913,15.865877,927,234,963,703,1
1.54764E+12,0.688131,0.57903045,0.34323645,13.100775,930,218,961,694,1
1.54764E+12,0.42038,0.03286455,0.025446901,9.741691,919,234,960,663,1
1.54764E+12,-0.80768603,0.015306537,-0.47652724,-0.86817586,734,317,957,570,1
1.54764E+12,-0.29558897,0.11964232,-1.385198,-3.8484397,449,303,942,340,1
1.54764E+12,1.8640466,-0.5159368,0.27403414,4.513999,468,304,929,79,1
1.54764E+12,1.849665,-0.028867746,0.16969836,3.2913952,354,252,847,37,1
1.54764E+12,0.69451886,0.41987386,-0.02989749,0.6614222,343,126,887,37,1
1.54764E+12,0.43422046,0.5971295,-0.11294025,-0.015217546,466,40,862,57,1
1.54764E+12,-0.04379031,0.32457888,0.65678483,1.4607695,703,50,856,107,1
1.54764E+12,-0.005462881,-0.3567802,1.000126,2.7769196,760,192,796,161,1
1.54764E+12,0.8957379,-0.31525883,1.4472793,8.583156,872,457,910,206,1
1.54764E+12,-0.52075386,-0.905599,0.8532042,12.49893,888,535,903,202,1
1.54764E+12,-1.0115579,0.7690793,0.048328165,3.4224827,907,539,900,26,1
1.54764E+12,-0.8151386,0.47256535,0.48802897,4.5382094,924,560,934,25,1
1.54764E+12,-0.36637953,0.53325045,0.8888787,5.854867,918,602,942,77,1
1.54764E+12,-0.990806,0.2889218,0.7696378,5.907243,914,593,939,95,1
1.54764E+12,-0.9077632,0.63758624,0.28893927,7.610602,916,595,956,31,1
1.54764E+12,-0.36479127,0.56040776,0.49176398,5.9827175,907,600,962,44,1
1.54764E+12,-0.4249353,-0.13852678,0.5806536,9.54687,904,522,965,121,1
1.54764E+12,-0.6868394,0.14039429,0.086132,7.583337,914,526,965,108,1
1.54764E+12,-0.8997696,0.04511676,-0.03415609,2.7647953,928,553,965,97,1
1.54764E+12,-1.3080719,0.1010022,0.39540434,3.4704719,927,618,954,59,1
1.54764E+12,-1.0355213,0.2718874,0.7520624,0.90568817,897,670,938,71,1
1.54764E+12,-0.056042522,-0.4030838,0.6445326,4.5788245,877,708,940,41,1
1.54764E+12,0.52204543,-0.8369377,0.44224897,4.7720556,855,726,940,30,1
1.54764E+12,-0.8965756,0.96869266,0.46673596,5.405973,820,730,942,49,1
1.54764E+12,-1.0078229,0.6625968,0.5465848,0.19651608,726,735,926,107,1
1.54764E+12,0.14357078,-0.68575734,1.0507057,6.418127,766,736,939,164,1
1.54764E+12,-0.8390845,0.21704915,0.23305382,5.2360325,810,734,931,56,1
