Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;HeelRight;FrontRight;mistake
1.54764E+12;0.2597748;-0.12075933;-0.06827728;-8.430569;854;263;944;453;1
1.54764E+12;0.18737854;-0.070179686;-0.0916996;-8.937737;824;265;947;467;1
1.54764E+12;0.049497537;-0.07497934;0.05466371;-8.915931;800;259;947;476;1
1.54764E+12;0.010646508;0.115052104;0.19413297;-8.347691;760;249;948;483;1
1.54764E+12;0.069202304;-0.18516198;0.089273594;-9.036627;756;249;940;485;1
1.54764E+12;0.085172065;-0.12288863;0.12705997;-8.707511;753;243;940;488;1
1.54764E+12;0.14851007;-0.036651913;0.059463367;-8.638998;751;241;936;497;1
1.54764E+12;0.12191125;0.042114794;0.0956615;-8.97116;751;241;938;502;1
1.54764E+12;0.07771951;0.1065349;0.18987437;-8.64255;754;245;938;508;1
1.54764E+12;0.033004176;0.1107935;0.21223204;-8.42396;759;245;938;515;1
1.54764E+12;-0.04576253;0.15709709;0.23778366;-8.693768;771;247;942;518;1
1.54764E+12;-0.018081611;0.15763813;0.22074924;-7.987459;789;247;943;522;1
1.54764E+12;-0.039374627;0.15816173;0.18242182;-8.689679;812;252;945;523;1
1.54764E+12;-0.060667645;0.13367477;0.17657496;-8.39748;828;247;947;524;1
1.54764E+12;-0.18256144;0.09641199;0.1068316;-9.070865;843;242;946;520;1
1.54764E+12;-0.19429006;0.067142814;0.06585127;-7.838626;849;240;946;512;1
1.54764E+12;-0.21184807;0.08363618;0.039235003;-8.498161;853;241;948;506;1
1.54764E+12;-0.1980076;0.05969026;0.027523842;-8.588816;858;240;949;498;1
1.54764E+12;-0.1980076;0.013910274;-0.024102997;-8.870728;856;253;948;489;1
1.54764E+12;-0.2027898;0.02136283;-0.02942625;-8.580426;865;236;948;487;1
1.54764E+12;-0.22462387;-0.05794493;-0.061889376;-8.173728;862;244;949;488;1
1.54764E+12;-0.23153538;-0.09414306;-0.062430426;-8.238783;860;242;948;490;1
1.54764E+12;-0.26241025;-0.11863003;-0.075206235;-8.4291315;861;237;946;497;1
1.54764E+12;-0.29169688;-0.14470525;-0.083182395;-8.0766;864;240;944;504;1
1.54764E+12;-0.21769492;-0.17399187;-0.06562438;-8.338248;866;252;943;505;1
