Time;GyroX;GyroY;GyroZ;Accelerometer;HeelLeft;FrontLeft;mistake
1547631691062;-0.5787512;-0.2915398;0.49162436;-7.7124515;838;0;0
1547631691113;0.037681658;-0.37618828;0.59063685;-10.320092;873;0;0
1547631691162;-0.2843665;-0.8467639;0.5123938;-8.918641;889;0;0
1547631691212;-0.07836528;-1.1725471;0.2797588;-12.930461;917;3;0
1547631691262;-0.2652028;-0.18029252;0.429351;-14.685085;928;10;0
1547631691313;-0.7166147;0.31049407;1.2507204;-9.681587;918;5;0
1547631691362;-0.33601078;-0.568349;0.41390482;-10.74128;916;7;0
1547631691412;-0.66818184;0.07468264;-0.039618973;-10.895351;923;48;0
1547631691462;-0.7820995;-0.4539078;0.6140592;-14.075062;905;41;0
1547631691512;-0.7623947;-0.33412582;0.55550337;-9.894125;922;112;0
1547631691562;-0.74748963;-0.23937191;0.56456167;-12.0870695;919;120;0
1547631691613;-0.5957856;0.017191494;0.5379454;-11.843397;896;14;0
1547631691662;-0.61280257;0.092240654;0.47671923;-10.903587;854;0;0
1547631691713;-0.50101423;-0.32667327;0.29201102;-11.206004;811;0;0
1547631691763;-0.5872684;-0.41290998;0.3968704;-9.3864;766;0;0
1547631691813;-0.7043625;-0.14302973;0.58211964;-11.416023;765;0;0
1547631691862;-0.66444683;-0.08182103;0.92493725;-7.74711;823;0;0
1547631691913;-0.49357912;-0.28356364;0.86744606;-7.6057944;819;0;0
1547631691963;-0.5026199;-0.455496;0.5592384;-9.329361;855;0;0
1547631692013;-0.64156556;-0.4017399;0.446909;-13.30977;863;0;0
1547631692062;-0.89867;-0.048275806;0.965935;-10.156195;904;0;0
1547631692112;-0.6676408;0.01665044;0.6795439;-11.513285;914;0;0
1547631692162;-0.68308693;0.024644049;0.2584658;-11.219191;918;0;0
1547631692212;-0.71555007;0.13430308;0.39102358;-11.782863;911;0;0
1547631692261;-0.75600684;0.12683308;0.5049412;-9.738741;905;0;0
1547631692313;-0.634113;0.24661502;0.26591837;-10.17551;896;0;0
1547631692363;-0.86301297;0.099169604;0.33086208;-10.644602;891;3;0
1547631692413;-0.70757395;0.24980898;0.35109043;-11.523905;891;35;0
1547631692462;-0.6756344;0.3397807;0.48736575;-8.740063;881;93;0
1547631692538;-0.8651422;-0.124930665;-0.11573278;-9.921236;886;95;0
1547631692587;-0.34559265;0.51490706;0.22865559;-10.707876;866;150;0
1547631692638;-0.41053635;0.2833542;0.9563532;-3.9699984;844;182;0
1547631692687;-0.21357594;0.041678462;1.0063918;-3.0499926;788;135;0
1547631692737;-0.62079614;0.32485813;0.99733347;-1.0545022;839;0;0
1547631692786;-1.0280339;0.3211406;0.82698935;-2.025399;831;0;0
1547631692837;-0.902405;0.13482669;0.559762;-3.7325702;831;0;0
1547631692887;-1.286744;0.17954202;0.2999872;-6.0223846;852;8;0
1547631692938;-1.399056;-8.901179E-4;-0.20996311;-7.0346336;873;127;0
1547631692988;-0.7144854;0.13695599;-0.195058;-8.649523;866;235;0
1547631693038;-0.12466887;0.40631264;-0.12318534;-6.3818502;871;320;0
1547631693088;0.57744217;0.6687578;0.29785788;-5.8102965;767;387;0
1547631693138;0.4076391;0.83163196;0.37398916;-5.4158564;823;434;0
1547631693188;0.7195818;0.40418336;0.40325832;-9.001126;807;473;0
1547631693238;1.1188259;1.1659497;0.8360476;-4.8544836;841;484;0
1547631693287;0.5561492;-0.056793015;0.37611845;-10.563486;918;498;0
1547631693338;1.1087029;0.97537726;0.24462534;-8.34407;929;528;0
1547631693387;1.0480179;0.43931684;-0.16896532;-8.134194;938;537;0
1547631693437;0.38262853;-0.019530235;-0.3707254;-13.929829;944;590;0
